symbol,side,entry_idx,exit_idx,entry_time,exit_time,entry_price,exit_price,qty,pnl_quote,pnl_pct,exit_reason,bars_held
BNB/USDT,long,17536,17539,2025-10-26 22:00:00,2025-10-26 22:45:00,1131.256206,1142.0111134269052,0.17679461022112616,1.7406491026374016,0.08703245513187008,take_profit,3
BNB/USDT,short,18219,18222,2025-11-03 00:45:00,2025-11-03 01:30:00,1080.98376,1071.924550693929,0.18501665556936767,1.5167750497553363,0.07583875248776681,take_profit,3
BNB/USDT,long,18755,18757,2025-11-08 14:45:00,2025-11-08 15:15:00,993.188598,995.165847016,0.20137162307616424,0.2380025788402551,0.011900128942012755,stop,2
BNB/USDT,short,22504,22506,2025-12-17 16:00:00,2025-12-17 16:30:00,853.97917,845.015929392,0.23419774981162597,1.9400104497263506,0.09700052248631753,stop,2
BNB/USDT,short,28553,28562,2026-02-18 16:15:00,2026-02-18 18:30:00,614.517072,612.534222348,0.32545881817258937,0.4855940387156005,0.024279701935780024,stop,9
BNB/USDT,short,29069,29077,2026-02-24 01:15:00,2026-02-24 03:15:00,597.1005560000001,595.509908166,0.33495195740531175,0.37300372178308644,0.018650186089154322,stop,8
BNB/USDT,long,30467,30469,2026-03-10 14:45:00,2026-03-10 15:15:00,645.489072,650.153223344,0.3098425808826087,1.284574628976046,0.0642287314488023,stop,2
XRP/USDT,short,5902,5904,2025-06-27 17:30:00,2025-06-27 18:00:00,2.0928813400000004,2.0852527671599996,95.5620350650171,0.5692935460102804,0.028464677300514017,stop,2
XRP/USDT,short,13779,13781,2025-09-17 18:45:00,2025-09-17 19:15:00,2.99210146,3.0317179488157584,66.84265312313306,-2.8091304483561528,-0.14045652241780765,stop,2
XRP/USDT,long,21155,21156,2025-12-03 14:45:00,2025-12-03 15:00:00,2.19233838,2.165188083832708,91.22679319239032,-2.635843719784251,-0.13179218598921255,stop,1
XRP/USDT,short,21411,21418,2025-12-06 06:45:00,2025-12-06 08:30:00,2.0358927400000004,2.017656138213728,98.23700240711108,1.632225697212987,0.08161128486064935,take_profit,7
XRP/USDT,short,21852,21855,2025-12-10 21:00:00,2025-12-10 21:45:00,2.0621874800000004,2.05465514886,96.9843925150782,0.5708107672593012,0.02854053836296506,stop,3
XRP/USDT,short,25808,25822,2026-01-21 02:00:00,2026-01-21 05:30:00,1.89732046,1.9164984487871493,105.41181851799564,-2.1823953082405625,-0.10911976541202813,stop,14
XRP/USDT,short,26182,26189,2026-01-24 23:30:00,2026-01-25 01:15:00,1.91531686,1.90699264792341,104.42136451511215,0.7095732737841068,0.03547866368920534,take_profit,7
XRP/USDT,short,27875,27877,2026-02-11 14:45:00,2026-02-11 15:15:00,1.3741251200000002,1.3497060872399997,145.54715366821907,3.3955423618344818,0.16977711809172408,stop,2
XRP/USDT,short,28553,28562,2026-02-18 16:15:00,2026-02-18 18:30:00,1.4584082600000001,1.4485213463399997,137.13581133996044,1.1963922663828555,0.059819613319142775,stop,9
DOGE/USDT,long,991,995,2025-05-07 13:45:00,2025-05-07 14:45:00,0.172854564,0.1715182115665839,1157.0420553084152,-1.705597479789689,-0.08527987398948444,stop,4
DOGE/USDT,short,2258,2260,2025-05-20 18:30:00,2025-05-20 19:00:00,0.22051588800000002,0.21829645055999997,906.9641276822647,1.8537553217716947,0.09268776608858473,stop,2
DOGE/USDT,short,6598,6611,2025-07-04 23:30:00,2025-07-05 02:45:00,0.162877418,0.16238808112199998,1227.917304042725,0.4411055660904607,0.022055278304523036,stop,13
DOGE/USDT,short,7619,7621,2025-07-15 14:45:00,2025-07-15 15:15:00,0.19172164800000002,0.18995603360999996,1043.179015444307,1.6825886217669677,0.08412943108834839,stop,2
DOGE/USDT,short,10975,10978,2025-08-19 13:45:00,2025-08-19 14:30:00,0.218526286,0.215527616904,915.2217047243462,2.5855448207621077,0.1292772410381054,stop,3
DOGE/USDT,long,21155,21156,2025-12-03 14:45:00,2025-12-03 15:00:00,0.150210036,0.14810194006564542,1331.4689572406467,-2.965741549760135,-0.14828707748800676,stop,1
DOGE/USDT,long,21642,21651,2025-12-08 16:30:00,2025-12-08 18:45:00,0.14324864399999998,0.14130121464135037,1396.173774601315,-2.8778622185158707,-0.14389311092579354,stop,9
DOGE/USDT,short,23336,23363,2025-12-26 08:00:00,2025-12-26 14:45:00,0.125284938,0.12358572926315602,1596.3610885132894,2.553635729043077,0.12768178645215383,take_profit,27
DOGE/USDT,short,23819,23830,2025-12-31 08:45:00,2025-12-31 11:30:00,0.122985398,0.12349465534930305,1626.2093163287564,-0.9884903094638584,-0.04942451547319292,stop,11
DOGE/USDT,long,24364,24366,2026-01-06 01:00:00,2026-01-06 01:30:00,0.15197038799999998,0.15285937201,1316.0458601974485,1.0094757486517836,0.05047378743258918,stop,2
DOGE/USDT,short,27875,27877,2026-02-11 14:45:00,2026-02-11 15:15:00,0.089792038,0.088111108698,2227.3689789733917,3.585547403035458,0.1792773701517729,stop,2
DOGE/USDT,short,28553,28562,2026-02-18 16:15:00,2026-02-18 18:30:00,0.099940008,0.098785163082,2001.2005602400993,2.1520007274107837,0.10760003637053919,stop,9
DOGE/USDT,short,30134,30137,2026-03-07 03:30:00,2026-03-07 04:15:00,0.09133173,0.090920070378,2189.819463619051,0.741820836742722,0.0370910418371361,stop,3
ADA/USDT,short,823,825,2025-05-05 19:45:00,2025-05-05 20:15:00,0.66466704,0.6615104756399999,300.9025391119138,0.7901981580865252,0.03950990790432626,stop,2
ADA/USDT,short,1709,1711,2025-05-15 01:15:00,2025-05-15 01:45:00,0.80073982,0.7872847530845277,249.7690198546639,3.202003139106647,0.16010015695533236,take_profit,2
ADA/USDT,short,2258,2260,2025-05-20 18:30:00,2025-05-20 19:00:00,0.72905416,0.7264175544599999,274.3280416917174,0.5635841524355651,0.02817920762177826,stop,2
ADA/USDT,short,5821,5823,2025-06-26 21:15:00,2025-06-26 21:45:00,0.55558886,0.5522619302999999,359.97842001367707,1.0381019460613508,0.05190509730306754,stop,2
ADA/USDT,short,11935,11937,2025-08-29 13:45:00,2025-08-29 14:15:00,0.82863424,0.8177088090599999,241.3610135154444,2.478027874005325,0.12390139370026625,stop,2
ADA/USDT,short,15758,15763,2025-10-08 09:30:00,2025-10-08 10:45:00,0.81713654,0.8246556447445061,244.75713691618782,-2.0010906912580175,-0.10005453456290088,stop,5
ADA/USDT,long,17533,17536,2025-10-26 21:15:00,2025-10-26 22:00:00,0.67283454,0.6803453751053204,297.2499003989896,2.071701948974956,0.1035850974487478,take_profit,3
ADA/USDT,short,17811,17812,2025-10-29 18:45:00,2025-10-29 19:00:00,0.63397318,0.6495546654083416,315.47075855795663,-5.077469222437745,-0.25387346112188725,stop,1
ADA/USDT,short,23276,23282,2025-12-25 17:00:00,2025-12-25 18:30:00,0.35382922,0.358008661502871,565.2444419372713,-2.5233510423317336,-0.12616755211658667,stop,6
ADA/USDT,short,25283,25286,2026-01-15 14:45:00,2026-01-15 15:30:00,0.40191960000000004,0.39977543909999996,497.6119602029858,0.9073868924830142,0.04536934462415071,stop,3
ADA/USDT,short,27876,27878,2026-02-11 15:00:00,2026-02-11 15:30:00,0.25354928,0.25140207035999995,788.8012933817048,1.5343992298901707,0.07671996149450853,stop,2
ADA/USDT,short,28553,28562,2026-02-18 16:15:00,2026-02-18 18:30:00,0.28024394,0.27668272547999995,713.6639600485205,2.3825270611083167,0.11912635305541583,stop,9
ADA/USDT,short,30134,30137,2026-03-07 03:30:00,2026-03-07 04:15:00,0.25914816,0.2576219140799999,771.7592901296308,1.0183656255696456,0.05091828127848228,stop,3
ADA/USDT,long,30662,30667,2026-03-12 15:30:00,2026-03-12 16:45:00,0.26195238000000004,0.2626569581,763.4975486765952,0.37772847474030496,0.018886423737015247,stop,5
ADA/USDT,short,32484,32488,2026-03-31 15:00:00,2026-03-31 16:00:00,0.23965206,0.23805950237999998,834.5432123554457,1.1695897753167803,0.05847948876583901,stop,4
AVAX/USDT,long,8361,8365,2025-07-23 08:15:00,2025-07-23 09:15:00,25.5241038,25.204926541585365,7.835730553642397,-2.659986600989044,-0.1329993300494522,stop,4
AVAX/USDT,short,10879,10881,2025-08-18 13:45:00,2025-08-18 14:15:00,23.7882414,23.5611692916,8.40751515158241,1.7498758367515268,0.08749379183757634,stop,2
AVAX/USDT,long,11771,11773,2025-08-27 20:45:00,2025-08-27 21:15:00,24.921983400000002,24.9917846432,8.02504346423728,0.3999339473335579,0.019996697366677897,stop,2
AVAX/USDT,long,12320,12322,2025-09-02 14:00:00,2025-09-02 14:30:00,24.069813,24.127558523,8.309163016762946,0.3196250373096064,0.01598125186548032,stop,2
AVAX/USDT,long,12464,12466,2025-09-04 02:00:00,2025-09-04 02:30:00,25.2620514,25.0835044136493,7.9170134219582815,-1.572993463833736,-0.0786496731916868,stop,2
AVAX/USDT,short,14800,14802,2025-09-28 10:00:00,2025-09-28 10:30:00,28.3263336,28.266180105599993,7.060567838543001,0.264887715067852,0.013244385753392601,stop,2
AVAX/USDT,long,14903,14907,2025-09-29 11:45:00,2025-09-29 12:45:00,29.8389666,29.408672386674926,6.7026449903932,-3.042955709597149,-0.15214778547985747,stop,4
AVAX/USDT,long,20368,20386,2025-11-25 10:00:00,2025-11-25 14:30:00,13.9117818,13.802966652020254,14.37630368814439,-1.7237338693819044,-0.08618669346909522,stop,18
AVAX/USDT,long,20391,20394,2025-11-25 15:45:00,2025-11-25 16:30:00,13.9147824,13.944243593400001,14.373203565152409,0.2632823493185391,0.013164117465926956,stop,3
AVAX/USDT,long,21253,21255,2025-12-04 15:15:00,2025-12-04 15:45:00,14.7439482,14.806476112399999,13.56488759232076,0.6878448294472229,0.03439224147236115,stop,2
AVAX/USDT,short,21446,21447,2025-12-06 15:30:00,2025-12-06 15:45:00,13.223354800000001,13.328994562966043,15.124754876878898,-1.7584146303210257,-0.08792073151605129,stop,1
AVAX/USDT,short,27876,27878,2026-02-11 15:00:00,2026-02-11 15:30:00,8.543291,8.477045069999999,23.410182329034562,1.3914496315764242,0.0695724815788212,stop,2
AVAX/USDT,long,28132,28138,2026-02-14 07:00:00,2026-02-14 08:30:00,9.172834199999999,9.244530541026265,21.803511939635847,1.4026067347833584,0.07013033673916792,take_profit,6
AVAX/USDT,short,28553,28562,2026-02-18 16:15:00,2026-02-18 18:30:00,9.0271942,8.936510944799998,22.15527832557319,1.8499164035283937,0.09249582017641969,stop,9
